game_key,labels,text,colors,video_data,eng_type,direction,adunit_size_x,adunit_size_y
f910338e60315f02812b05e932068f47/1028d033d74dd2e24f67,"Asphalt,Tarmac,Road,Runway","Amazing Hong Kong,air,deals!,Swipe Up,BEST,OF ALL,IT'S IN,HONG,KONG","1,2,3,4,5,6,7,8,9,10",0,swipe,up,,
444e104ea378baae87997c41eec5b2ff/9e1c545a4b490a7c3088,,"OREO BIEDO,BSEEJOREO,OREO,...,1997 Nintendo, Creatures. GAME FREAK. TV Tokyo, ShoPro, JR Kikaku.,Pokemon. TM and are trademarks of Nintendo.,For promotional use n Congl Kong only Licensed by Mighty Media Co. Ltd.","1,2,3,4,5,6,7,8,9,10",0,,,,
444e104ea378baae87997c41eec5b2ff/e7370ccd417a54394cfc,,"OREO DD,BSELEIJOREO,OREO ...,1997 Nintendo, Creatures. GAME FREAK. TV Tokyo, ShoPro, JR Kikaku.,Pokemon. TM and are trademarks of Nintendo.,For promotional luse in Hong Kong only Licensed by Might Media Co. Lta,","1,2,3,4,5,6,7,8,9,10",0,,,,
988c2b4ece7a909bccc88bc7d3168348/a034c30acd4658d468a4,"Person,Human,Face,Dating",1001,"1,2,3,4,5,6,7,8,9,10",0,,,,
988c2b4ece7a909bccc88bc7d3168348/8fd373d2d72b97b68c49,"Human,Person,Face,Dating",10,"1,2,3,4,5,6,7,8,9,10",0,,,,
988c2b4ece7a909bccc88bc7d3168348/83f4b8d153f1fde2d2a8,"Person,Human,Face,Dating",10,"1,2,3,4,5,6,7,8,9,10",0,,,,
06653b2a4fa8d2652bb7bca2100aefca/acf7bfc2db5043ca0d0b,"Wasp,Invertebrate,Insect,Bee,Hornet,Andrena,Animal","ExonMobil,Tap and hold,comiccicnc","1,2,3,4,5,6,7,8,9,10",1,,no direction,600.0,500.0
06653b2a4fa8d2652bb7bca2100aefca/f5ba9af421ffbf4142cf,,"ExonMobil,Tap and hold,somiscicnc","1,2,3,4,5,6,7,8,9,10",1,,no direction,600.0,500.0
ffaa0f351ee62e98a7d0e8f5fd6f78f1/57adef6d764fcf32199b,"Advertisement,Poster,Brochure,Paper,Flyer,Text,Word,Person,Human,Alphabet","Westheld,LES 4 TEMPS,BACK,TOGETHER,Balayez votre cran pour commencer votre shopping,*Tous reunis","1,2,3,4,5,6,7,8,9,10",1,swipe,no direction,600.0,500.0
ffaa0f351ee62e98a7d0e8f5fd6f78f1/57a37983df905f16f732,"Poster,Advertisement,Flyer,Brochure,Paper,Word,Text,Person,Human","Westheld,LES 4 TEMPS,BACK,TOGETHER,Balayez votre ecran pour commencer votre shopping,*Tous reunis","1,2,3,4,5,6,7,8,9,10",1,swipe,no direction,600.0,500.0
d7c5bf54f39eb745b553d06813cffb23/5145b65ed94820a0605c,"Vehicle,Transportation,Automobile,Car,Sedan,Bumper,Wheel,Machine,Spoke,Tire","DLEXUS,SCRUB THE SCREEN,TO DISCOVER THE POWER OF","1,2,3,4,5,6,7,8,9,10",1,,,,
adunit-audi-a4-tw-mpu/210c97d661a99f3a3fd5,"Automobile,Transportation,Vehicle,Car,Steering Wheel,Machine","i,i,i,i,AudiA4","1,2,3,4,5,6,7,8,9,10",0,,,,
adunit-audi-a4-tw-mpu/a19bef9a50abec7a77d3,"Automobile,Transportation,Vehicle,Car","i,i,as,i,i,Audi A4","1,2,3,4,5,6,7,8,9,10",0,,,,
adunit-audi-a4-tw-mpu/a17745390e720d6afc3f,"Transportation,Car,Automobile,Vehicle,Steering Wheel,Machine","c,a,i,FAUDI A4","1,2,3,4,5,6,7,8,9,10",0,,,,
adunit-honda-san-diego-mob/3c048c44f4fbd08f5398,"Nature,Outdoors,Sun,Sky",,"1,2,3,4,5,6,7,8,9,10",0,,,,
4a61c1f8a9beef553affa97c25e1c2d6/cec5b4544e3b82d03813,"Building,Tower,Clock Tower,Architecture,Barrel","MACKMYRA,Al","1,2,3,4,5,6,7,8,9,10",0,,,,
4a61c1f8a9beef553affa97c25e1c2d6/c807e3d14fce5db543e1,"Clock Tower,Building,Architecture,Tower,Barrel","AE >1,MACKMYRA,Al","1,2,3,4,5,6,7,8,9,10",0,,,,
adunit-estee-lauder-double-wear-19-fr/4819fbd275ea888d3185,"Bottle,Cosmetics","ESTEE LAUDER,DOUBLE WEAR,FAITES GLISSER DE GAUCHE A DROITE,pour decouvrir votre teinte parfaite,Double,Double Doebir Wear Doxblie Wrar Double Wrar Double,ESTEE,EALLDER","1,2,3,4,5,6,7,8,9,10",1,swipe,no direction,,
50610683c092a1f0faeac6b493680e5b/20113a3748ea9574ead1,Plant,"Harrys,Pour faire,des,produits,de qualite,,Harrys,s'engage :,APPUYE7 FT MAINTENE7","1,2,3,4,5,6,7,8,9,10",1,,,,
adunit-exxonmobil-corp2019-mpu-dutch-belgium/68ebe610aa13d60bb971,"Plant,Pottery,Vase,Potted Plant,Jar,Planter,Vegetation","Planten nemen van,nature CO2 op.,Swipe naar rechts,EML:L","1,2,3,4,5,6,7,8,9,10",1,swipe,right,,
ae486bd67bd6093296e106706950eeb9/a90a588373354ad04457,"Poster,Advertisement,Flyer,Brochure,Paper","ANGEL,HAS FALLEN,LIONSGATE,TAP AND HOLD","1,2,3,4,5,6,7,8,9,10",0,,no direction,,
